Схема кузова,ТИП КУЗОВА1,ТИП КУЗОВА2,ТИП КУЗОВА3,ТИП КУЗОВА4,ТИП КУЗОВА5,ТИП КУЗОВА6,ТИП КУЗОВА7,ТИП КУЗОВА8,зона,деталь 1,деталь 2,программа,розібрати/зібрати,усунення перекосу,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Бампер задній,,программа,,,,,,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,(Додати),,,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Датчик паркування зад. 4шт,,розібрати/зібрати,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Датчик паркування зад. 6шт,,розібрати/зібрати,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Датчик паркування зпд. 2шт,,розібрати/зібрати,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Комплект кліпси бамп.зад.,,,,замінити,зняти/встановити,,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Кришка букс.крюка бампера зад.,,,,замінити,зняти/встановити,,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Кронштейн кріплення бамп.зад.лів.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Кронштейн кріплення бамп.зад.пр.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер задній,Деталь бампера заднього,Направляюча бамп.зад.лів.,,,,замінити,зняти/встановити,ремонт,
