Деталь,Вид ремонта,Вид ремонта,Вид ремонта,Вид ремонта,Вид ремонта,Вид ремонта,Вид ремонта,Вид ремонта
 Бампер задній,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Бампер передній,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Дах,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,,  Заміна  оригінал деталь з фарбуванням,,  Заміна без фарбування,Полірування 
 Двері багажніка,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Двері задні ліві,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Двері задні праві,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Двері передні ліві,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Двері передні праві,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Капот,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
 Крило заднє ліве,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,,  Заміна без фарбування,Полірування 
 Крило заднє праве,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,,  Заміна без фарбування,Полірування 
 Крило переднє ліве,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,,  Заміна без фарбування,Полірування 
 Крило переднє праве,    Ремонт з зовнішнім фарбуванням ,,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,,  Заміна без фарбування,Полірування 
 Кришка багажніка,    Ремонт з зовнішнім фарбуванням ,Ремонт з фарбуваням 2 сторони,Ремонт без фарбування,  Розтонування фарби,  Заміна  оригінал деталь з фарбуванням,   Заміна Не оригінал деталь з фарбуванням,  Заміна без фарбування,Полірування 
